input_size,exec_time_insertion,exec_time_merge
4160,1888987100,17000900
4170,1948132900,17003600
4180,1808957800,23996500
4190,2112003200,34003300
4200,2085998800,36999200
4210,2370996000,17001500
4220,2319000800,50006800
4230,2179000100,28994200
4240,1973998500,19038500
4250,1851101900,17999400
4260,2132001800,27996400
4270,1865161800,15999400
4280,1999006900,34991500
4290,1883999000,43005200
4300,1914998800,45001100
4310,2112101500,46006100
4320,1949996500,44143500
4330,2335000200,46997900
4340,1998000400,23000300
4350,2164003000,38998300
4360,2138993500,46001100
4370,1979993800,38002900
4380,2566004600,56003600
4390,2497997300,18999300
4400,2299085000,49006000
4410,1852002800,33069000
4420,2124979500,24998100
4430,1921000200,24998900
4440,2098003700,34995300
4450,2039001400,42000300
4460,2007003200,26995300
4470,2420042900,25964100
4480,1907649500,41001500
4490,2216961800,38001500
4500,2078999800,23998400
4510,2374006600,47014700
4520,1959997400,42002500
4530,2068997700,24999500
4540,2319999100,23014700
4550,2273034000,24960700
4560,3149000400,43004800
4570,2048999700,50999700
4580,2419002900,33001600
4590,2297998200,47005200
4600,2359996800,102006800
4610,2609996600,28999800
4620,2117996900,31003400
4630,1806995000,27000200
4640,2093995500,28047500
4650,1936999200,27039000
4660,1924994200,28000000
4670,2221000400,43000000
4680,2456034100,26000200
4690,2280001500,27999200
4700,2115043300,27958800
4710,2282999400,26999400
4720,2131000400,38004300
4730,2110995800,39004200
4740,2615003800,100007800
4750,2587982500,35997500
4760,2420006300,48996200
4770,2246991800,51995500
4780,2493998900,31997300
4790,2166000200,42001000
4800,3076997800,51004800
4810,3603998500,37003000
4820,4408007300,58995700
4830,5711057000,52997200
4840,3620999300,50001500
4850,3096999700,40999600
4860,3300000100,31999800
4870,3118996600,45001200
4880,2523001500,41998100
4890,3729007500,51995400
4900,3991000100,55000600
4910,2530998200,34007400
4920,2814996600,35000300
4930,2060994400,28041000
4940,2233994200,48004200
4950,2242035200,28003000
4960,2354998700,33004400
4970,2259992700,41003700
4980,2046002300,32991200
4990,2700004800,35998500
5000,2709016700,35001900
5010,2695997800,42004700
5020,3186999700,46000100
5030,4289998500,71003800
5040,3347996800,42006500
5050,3959993800,60006600
5060,4387995900,43000100
5070,4702998400,41002000
5080,4661062900,47002300
5090,5755999500,74001000
5100,5860997800,42999900
5110,4979997600,94004200
5120,5781591900,64000900
5130,4079003400,79997300
5140,4531991100,45010200
5150,4135999800,41000100
5160,3988003300,92999800
5170,3996997300,45998700
5180,4524002100,89002100
5190,5053997400,81998400
5200,4522998400,153001200
5210,3794995400,47001000
