input_array,exec_best,exec_worst,exec_avg
7760,2.1457672119140625e-06,6.9141387939453125e-06,5.9604644775390625e-06
8010,1.6689300537109375e-06,6.9141387939453125e-06,6.67572021484375e-06
8260,1.430511474609375e-06,7.62939453125e-06,5.4836273193359375e-06
8510,2.384185791015625e-06,8.106231689453125e-06,6.9141387939453125e-06
8760,1.6689300537109375e-06,7.3909759521484375e-06,7.3909759521484375e-06
9010,2.1457672119140625e-06,7.62939453125e-06,6.67572021484375e-06
9260,1.6689300537109375e-06,7.3909759521484375e-06,6.4373016357421875e-06
9510,1.6689300537109375e-06,7.3909759521484375e-06,5.9604644775390625e-06
9760,1.6689300537109375e-06,7.152557373046875e-06,5.7220458984375e-06
10010,1.6689300537109375e-06,8.821487426757812e-06,6.9141387939453125e-06
10260,1.6689300537109375e-06,8.344650268554688e-06,7.3909759521484375e-06
10510,2.6226043701171875e-06,9.5367431640625e-06,5.4836273193359375e-06
10760,1.430511474609375e-06,7.62939453125e-06,6.4373016357421875e-06
11010,1.6689300537109375e-06,6.9141387939453125e-06,5.245208740234375e-06
11260,1.9073486328125e-06,7.62939453125e-06,5.7220458984375e-06
11510,1.430511474609375e-06,7.152557373046875e-06,5.7220458984375e-06
11760,1.1920928955078125e-06,6.9141387939453125e-06,6.4373016357421875e-06
12010,1.430511474609375e-06,7.152557373046875e-06,6.9141387939453125e-06
12260,1.1920928955078125e-06,6.9141387939453125e-06,7.152557373046875e-06
12510,1.6689300537109375e-06,6.9141387939453125e-06,6.67572021484375e-06
12760,2.6226043701171875e-06,6.9141387939453125e-06,7.3909759521484375e-06
13010,2.6226043701171875e-06,8.106231689453125e-06,6.9141387939453125e-06
13260,2.384185791015625e-06,7.3909759521484375e-06,6.9141387939453125e-06
13510,1.430511474609375e-06,6.9141387939453125e-06,6.9141387939453125e-06
13760,1.430511474609375e-06,6.9141387939453125e-06,7.152557373046875e-06
14010,1.430511474609375e-06,6.4373016357421875e-06,6.67572021484375e-06
14260,1.6689300537109375e-06,6.9141387939453125e-06,6.9141387939453125e-06
14510,1.430511474609375e-06,6.9141387939453125e-06,6.67572021484375e-06
14760,1.6689300537109375e-06,7.152557373046875e-06,6.198883056640625e-06
15010,1.1920928955078125e-06,6.9141387939453125e-06,6.67572021484375e-06
15260,2.6226043701171875e-06,7.152557373046875e-06,5.9604644775390625e-06
15510,1.430511474609375e-06,7.152557373046875e-06,6.9141387939453125e-06
15760,1.430511474609375e-06,6.9141387939453125e-06,6.67572021484375e-06
16010,1.1920928955078125e-06,6.9141387939453125e-06,7.152557373046875e-06
16260,3.814697265625e-06,1.2636184692382812e-05,1.2159347534179688e-05
16510,3.337860107421875e-06,9.775161743164062e-06,6.198883056640625e-06
16760,2.1457672119140625e-06,7.867813110351562e-06,6.4373016357421875e-06
17010,2.6226043701171875e-06,8.58306884765625e-06,7.3909759521484375e-06
17260,1.6689300537109375e-06,8.106231689453125e-06,6.9141387939453125e-06
17510,1.6689300537109375e-06,7.867813110351562e-06,6.9141387939453125e-06
17760,1.430511474609375e-06,7.62939453125e-06,6.198883056640625e-06
18010,1.6689300537109375e-06,7.62939453125e-06,6.67572021484375e-06
18260,2.6226043701171875e-06,8.58306884765625e-06,6.67572021484375e-06
18510,3.337860107421875e-06,9.775161743164062e-06,7.152557373046875e-06
18760,4.291534423828125e-06,9.298324584960938e-06,6.9141387939453125e-06
19010,5.245208740234375e-06,1.1444091796875e-05,6.198883056640625e-06
19260,4.291534423828125e-06,1.0013580322265625e-05,8.106231689453125e-06
19510,4.5299530029296875e-06,1.0728836059570312e-05,7.152557373046875e-06
19760,4.291534423828125e-06,1.0251998901367188e-05,7.867813110351562e-06
20010,3.5762786865234375e-06,1.0251998901367188e-05,7.152557373046875e-06
20260,2.86102294921875e-06,1.0013580322265625e-05,7.62939453125e-06
20510,4.291534423828125e-06,1.0967254638671875e-05,6.9141387939453125e-06
20760,2.6226043701171875e-06,9.298324584960938e-06,6.67572021484375e-06
21010,3.0994415283203125e-06,8.58306884765625e-06,4.76837158203125e-06
21260,2.384185791015625e-06,8.58306884765625e-06,7.867813110351562e-06
21510,2.384185791015625e-06,8.58306884765625e-06,7.3909759521484375e-06
21760,2.86102294921875e-06,9.059906005859375e-06,7.3909759521484375e-06
22010,3.0994415283203125e-06,1.0013580322265625e-05,6.4373016357421875e-06
22260,1.9073486328125e-06,9.059906005859375e-06,4.76837158203125e-06
22510,2.1457672119140625e-06,8.58306884765625e-06,7.62939453125e-06
22760,2.1457672119140625e-06,8.344650268554688e-06,6.9141387939453125e-06
23010,3.0994415283203125e-06,9.775161743164062e-06,7.152557373046875e-06
23260,1.9073486328125e-06,8.344650268554688e-06,7.62939453125e-06
23510,2.6226043701171875e-06,9.5367431640625e-06,6.9141387939453125e-06
23760,2.1457672119140625e-06,8.58306884765625e-06,6.9141387939453125e-06
24010,3.0994415283203125e-06,9.5367431640625e-06,6.198883056640625e-06
24260,2.6226043701171875e-06,1.0013580322265625e-05,7.152557373046875e-06
24510,2.1457672119140625e-06,9.298324584960938e-06,6.67572021484375e-06
24760,2.1457672119140625e-06,8.344650268554688e-06,7.152557373046875e-06
25010,3.5762786865234375e-06,1.049041748046875e-05,6.67572021484375e-06
25260,4.0531158447265625e-06,1.0013580322265625e-05,6.9141387939453125e-06
25510,4.0531158447265625e-06,1.0251998901367188e-05,5.9604644775390625e-06
25760,4.76837158203125e-06,1.1205673217773438e-05,7.3909759521484375e-06
26010,4.291534423828125e-06,1.0251998901367188e-05,6.9141387939453125e-06
26260,4.5299530029296875e-06,1.0251998901367188e-05,7.152557373046875e-06
26510,4.5299530029296875e-06,1.0013580322265625e-05,7.152557373046875e-06
26760,5.0067901611328125e-06,1.049041748046875e-05,6.198883056640625e-06
27010,3.5762786865234375e-06,1.049041748046875e-05,7.152557373046875e-06
27260,4.76837158203125e-06,1.049041748046875e-05,7.867813110351562e-06
27510,4.291534423828125e-06,1.049041748046875e-05,8.58306884765625e-06
27760,4.0531158447265625e-06,1.0013580322265625e-05,7.867813110351562e-06
28010,3.814697265625e-06,9.5367431640625e-06,7.62939453125e-06
28260,4.5299530029296875e-06,1.049041748046875e-05,7.3909759521484375e-06
28510,3.814697265625e-06,1.0728836059570312e-05,7.62939453125e-06
28760,3.814697265625e-06,1.0967254638671875e-05,6.198883056640625e-06
29010,3.814697265625e-06,9.298324584960938e-06,4.291534423828125e-06
